Domain,Rank,Category,Language,SLD,SLD Rank,SLD Category,SLD Language,DNS,HTTP,IP,IP Details,,,,
,,,,,,,,,,,IP,Blocked,Country,City,Lat/Long
file.sh,177667,,,file.sh,177667,,,N,Y,N,208.82.121.204,N,CA,Laval,45.5772/-73.7007
revistavaloresqueretaro.com,177679,,,revistavaloresqueretaro.com,177679,,,N,N,Y,67.227.164.103,Y,US,Lansing,42.7257/-84.636
hollywoodbets.net,177702,,,hollywoodbets.net,177702,,,N,N,Y,196.36.224.155,Y,ZA,None,-29.0/24.0
kimosong.com,177810,,,kimosong.com,177810,,,N,N,Y,205.196.18.90,Y,US,Las Vegas,36.1443/-115.183
link.net.pk,177823,,,link.net.pk,177823,,,N,N,Y,202.61.56.145,Y,PK,None,30.0/70.0
effordomsoft.com,177824,,,effordomsoft.com,177824,,,N,N,Y,112.78.193.230,Y,JP,Osaka,34.6864/135.52
jpopforum.net,177830,,,jpopforum.net,177830,,,N,Y,N,108.162.193.82,N,US,San Francisco,37.7697/-122.3933
,,,,,,,,,,,108.162.192.82,N,US,San Francisco,37.7697/-122.3933
scoopticle.com,177851,,,scoopticle.com,177851,,,N,N,Y,50.63.202.1,Y,US,Scottsdale,33.6119/-111.8906
firat.edu.tr,177863,,,firat.edu.tr,177863,,,N,N,Y,194.255.124.24,Y,DK,None,56.0/10.0
15minutebeauty.com,177887,,,15minutebeauty.com,177887,,,N,N,Y,184.168.221.19,Y,US,Scottsdale,33.6119/-111.8906
disa.mil,177916,,,disa.mil,177916,,,N,N,Y,156.112.108.76,Y,US,Columbus,39.9612/-82.9988
www.spafuns.net,,,,spafuns.net,177993,,,N,N,Y,77.243.236.198,Y,NL,None,52.5/5.75
boredofstudies.org,178001,,,boredofstudies.org,178001,,,N,N,Y,72.51.41.123,Y,US,Los Angeles,34.053/-118.2642
is01.ru,178005,,,is01.ru,178005,,,N,N,Y,91.231.84.106,Y,UA,None,49.0/32.0
mycardstatement.com,178021,,,mycardstatement.com,178021,,,N,N,Y,12.191.20.195,Y,US,None,38.0/-97.0
measureful.com,178069,,,measureful.com,178069,,,N,N,Y,184.168.221.22,Y,US,Scottsdale,33.6119/-111.8906
traffic.gov.om,178089,,,traffic.gov.om,178089,,,N,N,Y,212.72.1.235,Y,OM,None,21.0/57.0
rategain.com,178246,,,rategain.com,178246,,,N,N,Y,65.254.231.114,Y,US,Burlington,42.5051/-71.2047
asid.org,178288,,,asid.org,178288,,,N,N,Y,192.145.234.254,Y,US,Los Angeles,33.9571/-118.4041
fantagraphics.com,178313,,,fantagraphics.com,178313,,,N,N,Y,50.28.70.197,Y,US,Lansing,42.7257/-84.636
favotter.net,178379,,,favotter.net,178379,,,N,Y,N,203.141.139.184,N,JP,Ichikawa,35.7197/139.9247
iitrpr.ac.in,178381,,,iitrpr.ac.in,178381,,,N,N,Y,115.248.248.14,Y,IN,Mumbai,18.975/72.8258
secure-host.com,178401,,,secure-host.com,178401,,,N,N,Y,216.71.154.202,Y,US,Trumbull,41.2599/-73.2076
longwarjournal.org,178484,,,longwarjournal.org,178484,,,N,Y,N,216.92.72.251,N,US,Pittsburgh,40.4531/-79.9294
nimmsie.com,178507,,,nimmsie.com,178507,,,N,N,Y,87.255.54.20,Y,NL,None,52.5/5.75
underatedco.com,178508,,,underatedco.com,178508,,,N,N,Y,50.63.202.30,Y,US,Scottsdale,33.6119/-111.8906
testproducts.com,178511,,,testproducts.com,178511,,,N,N,Y,67.227.136.161,Y,US,Los Angeles,34.0522/-118.2437
www.lagranepoca.com,,,,lagranepoca.com,178543,,,Y,Y,N,162.159.242.74,N,US,San Francisco,37.7697/-122.3933
,,,,,,,,,,,162.159.243.74,N,US,San Francisco,37.7697/-122.3933
lagranepoca.com,178543,,,lagranepoca.com,178543,,,N,Y,N,162.159.243.74,N,US,San Francisco,37.7697/-122.3933
,,,,,,,,,,,162.159.242.74,N,US,San Francisco,37.7697/-122.3933
www.allfreeholidaycrafts.com,,,,allfreeholidaycrafts.com,178623,,,N,N,Y,54.221.10.232,Y,US,Ashburn,39.0437/-77.4875
www.ohotuku.jp,,,,ohotuku.jp,178641,,,N,N,Y,49.212.56.204,Y,JP,Osaka,34.6864/135.52
miboda.com.mx,178686,,,miboda.com.mx,178686,,,N,N,Y,192.249.115.97,Y,US,Los Angeles,33.9571/-118.4041
funarte.gov.br,178904,,,funarte.gov.br,178904,,,N,N,Y,200.143.203.65,Y,BR,None,-10.0/-55.0
mybb3.ru,178972,,,mybb3.ru,178972,,,N,N,Y,148.251.75.101,Y,DE,None,51.0/9.0
electronix.ru,179016,,,electronix.ru,179016,,,N,N,Y,95.211.21.164,Y,NL,None,52.5/5.75
aflite.co.uk,179025,,,aflite.co.uk,179025,,,N,N,Y,87.237.61.145,Y,GB,Stockport,53.4/-2.15
www.taggaz.com,,,,taggaz.com,179038,,,N,N,Y,64.27.11.35,Y,US,Los Angeles,34.053/-118.2642
ac-mgr.com,179042,,,ac-mgr.com,179042,,,N,N,Y,210.161.5.225,Y,JP,None,35.69/139.69
listsource.com,179067,,,listsource.com,179067,,,N,N,Y,207.104.75.155,Y,US,None,38.0/-97.0
yardbook.com,179082,,,yardbook.com,179082,,,N,N,P,184.168.221.17,Y,US,Scottsdale,33.6119/-111.8906
,,,,,,,,,,,75.101.163.44,N,US,Ashburn,39.0437/-77.4875
,,,,,,,,,,,174.129.212.2,N,US,Ashburn,39.0437/-77.4875
s5-style.com,179102,,,s5-style.com,179102,,,N,N,Y,210.172.144.22,Y,JP,None,35.69/139.69
observepoint.com,179126,,,observepoint.com,179126,,,N,N,Y,98.124.198.1,Y,US,Kirkland,47.6727/-122.1873
bannersusa.com,179133,,,bannersusa.com,179133,,,N,N,Y,4.35.148.47,Y,US,None,38.0/-97.0
webproxy.hu,179146,,,webproxy.hu,179146,,,N,Y,N,46.4.78.75,N,DE,None,51.0/9.0
www.techdailynews.net,,,,techdailynews.net,179162,,,N,N,Y,74.115.0.202,Y,None,None,None/None
,,,,,,,,,,,74.115.0.201,Y,None,None,None/None
junshis.com,179243,,,junshis.com,179243,,,N,Y,N,122.112.77.200,N,CN,Zhengzhou,34.6836/113.5325
,,,,,,,,,,,122.112.71.57,N,CN,Zhengzhou,34.6836/113.5325
,,,,,,,,,,,122.112.77.239,N,CN,Zhengzhou,34.6836/113.5325
,,,,,,,,,,,122.112.71.106,N,CN,Zhengzhou,34.6836/113.5325
aile.gov.tr,179254,,,aile.gov.tr,179254,,,N,N,P,78.186.53.0,Y,TR,Istanbul,41.0186/28.9647
,,,,,,,,,,,193.104.124.50,N,TR,None,39.0/35.0
webhostingsitesindia.in,179317,,,webhostingsitesindia.in,179317,,,N,N,Y,182.18.188.190,Y,IN,None,20.0/77.0
inviteiv.com.mx,179325,,,inviteiv.com.mx,179325,,,N,N,Y,201.144.66.150,Y,MX,Mexico City,19.4342/-99.1386
oneshift.com,179386,,,oneshift.com,179386,,,N,N,Y,123.100.242.131,Y,SG,None,1.3667/103.8
davaomommy.com,179420,,,davaomommy.com,179420,,,N,N,P,50.63.202.1,Y,US,Scottsdale,33.6119/-111.8906
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.38.21,N,US,Mountain View,37.4192/-122.0574
www.afflanders.com,,,,afflanders.com,179456,,,N,N,P,174.129.23.129,Y,US,Ashburn,39.0437/-77.4875
,,,,,,,,,,,50.16.215.41,N,US,Ashburn,39.0437/-77.4875
